"Source:","/Users/zane/Library/Mobile Documents/com~apple~CloudDocs/Repos/Warp-SE/WarpSE.kicad_sch"
"Date:","Sunday, March 27, 2022 at 10:44:14 PM"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_jlc.py"
"Component Count:","104"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","LCSC Part"
"C1, C2, C3, C4, C7, C8, C9, C10, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C24, C45, C50, C51, ","22","10u","C_Small","stdpads:C_0805","Unpolarized capacitor, small symbol","","C15850"
"C5, C6, C11, C21, C23, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C49, ","26","2u2","C_Small","stdpads:C_0603","Unpolarized capacitor, small symbol","","C23630"
"C46, C47, C48, ","3","22p","C_Small","stdpads:C_0603","Unpolarized capacitor, small symbol","","C1653"
"FID1, FID2, FID3, FID4, ","4","Fiducial","Fiducial","stdpads:Fiducial","Fiducial Marker","",""
"H1, H2, H3, H4, H5, ","5","","MountingHole","stdpads:PasteHole_1.152mm_NPTH","Mounting Hole without connection","",""
"J1, ","1","MacSEPDS","MacSEPDS","stdpads:DIN41612_R_3x32_Male_Vertical_THT","","",""
"J2, ","1","JTAG","Conn_02x05_Odd_Even","Connector:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3, ","1","microUSB","USB_B_Micro","stdpads:USB_Micro-B_ShouHan_MicroXNJ","USB Micro Type B connector","","C404969"
"Q1, Q2, ","2","MMBT3904","MMBT3904","stdpads:SOT-23","0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23","","C20526"
"R1, R2, ","2","47","R_Small","stdpads:R_0603","Resistor, small symbol","","C23182"
"R3, R4, R5, R6, R7, R8, R9, R10, R11, R15, R16, ","11","10k","R_Small","stdpads:R_0603","Resistor, small symbol","","C25804"
"SW1, ","1","CFG","SW_DIP_x03","stdpads:SW_DIP_SPSTx03_Slide_DSHP03TS_P1.27mm","3x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","","C319051"
"U1, ","1","XC95144XL-TQ100","XC95144XL-TQ100","stdpads:TQFP-100_14x14mm_P0.5mm","CPLD, 144 Macrocells, 3200 Usable Gates","","C45126"
"U2, U7, U13, U15, U16, U17, U18, U19, U21, U23, U24, ","11","74AHCT573PW","74573","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","","","C141311"
"U3, ","1","AZ1117EH-3.3","AP1117-33","stdpads:SOT-223","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223","","C108494"
"U4, ","1","20M","Oscillator_4P","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","","","C32529"
"U5, ","1","25M","Oscillator_4P","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","","","C32526"
"U6, ","1","DNP-AZ1117CH2-3.3","AZ1117CH2","stdpads:SOT-223","1A Low Dropout regulator, positive, 1.5V fixed output, SOT-223","",""
"U8, U9, ","2","KM48C2100","DRAM-2Mx8-SOP-28","stdpads:SOJ-28_300mil","","",""
"U10, U11, ","2","39SF040","Flash-512Kx8-PLCC-32","stdpads:PLCC-32","","","C72257"
"U12, ","1","CH340G","CH340G","stdpads:SOIC-16_3.9mm","USB serial converter, UART, SOIC-16","","C14267"
"U14, ","1","MC68HC000FN20","MC68000FN","stdpads:PLCC-68","Microprocessor, 16-bit bus","",""
"Y1, ","1","12M","Crystal_Small","stdpads:Crystal_HC49-SMD","Two pin crystal, small symbol","","C111117"
