"Source:","/Users/zane/Library/Mobile Documents/com~apple~CloudDocs/Repos/Warp-SE/PowerAdapter/SEPowerAdapter.kicad_sch"
"Date:","Wednesday, April 20, 2022 at 05:56:59 AM"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_jlc.py"
"Component Count:","34"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","LCSC Part"
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, ","16","10u","C_Small","stdpads:C_0805","Unpolarized capacitor, small symbol","","C15850"
"J1, ","1","XOR","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","C65114"
"J2, ","1","ATX","Conn_02x12_Top_Bottom","Connector_Molex:Molex_Mini-Fit_Jr_5569-24A1_2x12_P4.20mm_Horizontal","Generic connector, double row, 02x12, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)","","C477841"
"J3, ","1","Mac","Conn_02x07_Top_Bottom","Connector_Molex:Molex_Mini-Fit_Jr_5569-14A1_2x07_P4.20mm_Horizontal","Generic connector, double row, 02x07, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)","","C52216"
"J4, ","1","VGA","DB15_Female_HighDensity_MountingHoles","Connector_Dsub:DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm","15-pin female D-SUB connector, High density (3 columns), Triple Row, Generic, VGA-connector, Mounting Hole","","C75754"
"R1, R2, R3, ","3","1k","R_Small","stdpads:R_0805","Resistor, small symbol","","C17513"
"R4, R5, ","2","47","R_Small","stdpads:R_0805","Resistor, small symbol","","C17714"
"R6, R8, R10, ","3","150","R_Small","stdpads:R_0805","Resistor, small symbol","","C17471"
"R7, R9, R11, ","3","130","R_Small","stdpads:R_0805","Resistor, small symbol","","C17437"
"U1, ","1","LM7905_TO220","LM7905_TO220","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","Negative 1A 35V Linear Regulator, Fixed Output 5V, TO-220","","C9411"
"U2, U3, ","2","74LVC86AD","74LS86","stdpads:SOIC-14_3.9mm","Quad 2-input XOR","","C548853"
