Ref,Val,Package,MidX,MidY,Rotation,Side
"C1","10u","C_0805",93.800000,-158.450000,90.000000,top
"C2","10u","C_0805",109.500000,-147.150000,-90.000000,top
"C3","10u","C_0805",109.500000,-139.150000,90.000000,top
"C4","10u","C_0805",109.500000,-143.350000,90.000000,top
"C5","10u","C_0805",109.500000,-121.950000,-90.000000,top
"C6","10u","C_0805",93.800000,-166.850000,90.000000,top
"C7","10u","C_0805",109.500000,-126.150000,-90.000000,top
"C8","10u","C_0805",109.500000,-151.350000,-90.000000,top
"C9","10u","C_0805",109.500000,-107.250000,-90.000000,top
"C10","10u","C_0805",106.260000,-175.704500,0.000000,top
"C11","10u","C_0805",90.717000,-138.684000,0.000000,top
"C12","10u","C_0805",93.800000,-154.949999,-90.000000,top
"C13","10u","C_0805",109.500000,-111.450000,90.000000,top
"C14","10u","C_0805",94.957000,-138.684000,180.000000,top
"C15","10u","C_0805",93.800000,-162.250000,90.000000,top
"C16","10u","C_0805",106.260000,-187.833000,0.000000,top
"J1","XOR","PinHeader_2x03_P2.54mm_Vertical",95.186500,-189.103000,90.000000,top
"J2","ATX","Molex_Mini-Fit_Jr_5569-24A1_2x12_P4.20mm_Horizontal",118.400000,-106.400000,-90.000000,top
"J3","Mac","Molex_Mini-Fit_Jr_5569-14A1_2x07_P4.20mm_Horizontal",84.900000,-171.900000,90.000000,top
"J4","VGA","DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm",118.299669,-172.450000,90.000000,top
"R1","1k","R_0805",103.124000,-169.669500,-90.000000,top
"R2","1k","R_0805",110.043000,-187.833000,180.000000,top
"R3","1k","R_0805",92.329000,-190.053000,-90.000000,top
"R4","47","R_0805",113.347500,-183.451500,0.000000,top
"R5","47","R_0805",113.347500,-179.641500,0.000000,top
"R6","150","R_0805",106.360000,-164.274500,0.000000,top
"R7","130","R_0805",109.852500,-164.274500,180.000000,top
"R8","150","R_0805",112.966500,-168.399500,-90.000000,top
"R9","130","R_0805",115.125500,-168.404500,-90.000000,top
"R10","150","R_0805",112.966500,-172.209500,-90.000000,top
"R11","130","R_0805",115.125500,-172.214500,-90.000000,top
"U1","LM7905_TO220","TO-220-3_Horizontal_TabDown",91.567000,-136.271000,0.000000,top
"U2","74LVC86AD","SOIC-14_3.9mm",107.886500,-182.181500,90.000000,top
"U3","74LVC86AD","SOIC-14_3.9mm",107.886500,-169.989500,90.000000,top
