Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

10-12-2024  1:24AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  WarpSE.ngd
output file: WarpSE_pad.csv
Part type:   xc95144xl
Speed grade: -10
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O/GTS3,,,,,,,,,,
P2,A_FSB<5>,I,I/O/GTS4,INPUT,,,,,,,,,
P3,A_FSB<6>,I,I/O/GTS1,INPUT,,,,,,,,,
P4,A_FSB<7>,I,I/O/GTS2,INPUT,,,,,,,,,
P5,VCC,,VCCINT,,,,,,,,,,
P6,A_FSB<8>,I,I/O,INPUT,,,,,,,,,
P7,A_FSB<9>,I,I/O,INPUT,,,,,,,,,
P8,A_FSB<10>,I,I/O,INPUT,,,,,,,,,
P9,A_FSB<11>,I,I/O,INPUT,,,,,,,,,
P10,A_FSB<12>,I,I/O,INPUT,,,,,,,,,
P11,A_FSB<13>,I,I/O,INPUT,,,,,,,,,
P12,A_FSB<14>,I,I/O,INPUT,,,,,,,,,
P13,A_FSB<15>,I,I/O,INPUT,,,,,,,,,
P14,A_FSB<16>,I,I/O,INPUT,,,,,,,,,
P15,A_FSB<17>,I,I/O,INPUT,,,,,,,,,
P16,A_FSB<18>,I,I/O,INPUT,,,,,,,,,
P17,A_FSB<19>,I,I/O,INPUT,,,,,,,,,
P18,A_FSB<20>,I,I/O,INPUT,,,,,,,,,
P19,A_FSB<21>,I,I/O,INPUT,,,,,,,,,
P20,A_FSB<22>,I,I/O,INPUT,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,C16M,GCK,I/O/GCK1,,,,,,,,,,
P23,C8M,GCK/I,I/O/GCK2,,,,,,,,,,
P24,A_FSB<23>,I,I/O,INPUT,,,,,,,,,
P25,E,I,I/O,INPUT,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,FCLK,GCK,I/O/GCK3,,,,,,,,,,
P28,nDTACK_FSB,O,I/O,OUTPUT,,,,,,,,,
P29,nWE_FSB,I,I/O,INPUT,,,,,,,,,
P30,nLDS_FSB,I,I/O,INPUT,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,nAS_FSB,I,I/O,INPUT,,,,,,,,,
P33,nUDS_FSB,I,I/O,INPUT,,,,,,,,,
P34,nROMWE,O,I/O,OUTPUT,,,,,,,,,
