Ref,Val,Package,MidX,MidY,Rotation,Side
"C1","10u","C_0805",131.572000,-99.021000,-90.000000,top
"C2","10u","C_0805",165.608000,-104.101000,-90.000000,top
"C3","10u","C_0805",113.400000,-79.400000,0.000000,top
"C4","10u","C_0805",113.400000,-76.800000,0.000000,top
"C5","2u2","C_0603",127.900000,-93.800000,90.000000,top
"C6","2u2","C_0603",132.450000,-93.800000,90.000000,top
"C7","10u","C_0805",111.800000,-91.800000,-90.000000,top
"C8","10u","C_0805",118.100000,-91.800000,-90.000000,top
"C9","10u","C_0805",117.450000,-79.400000,0.000000,top
"C10","10u","C_0805",117.450000,-76.800000,0.000000,top
"C11","2u2","C_0603",122.450000,-59.050000,-90.000000,top
"C12","10u","C_0805",125.095000,-55.841000,-90.000000,top
"C13","10u","C_0805",146.685000,-55.841000,-90.000000,top
"C14","10u","C_0805",150.495000,-55.841000,-90.000000,top
"C15","10u","C_0805",172.085000,-55.841000,-90.000000,top
"C16","10u","C_0805",123.952000,-75.780000,-90.000000,top
"C17","10u","C_0805",149.352000,-75.780000,-90.000000,top
"C18","10u","C_0805",197.167500,-98.210000,90.000000,top
"C19","2u2","C_0603",196.700000,-104.450000,180.000000,top
"C20","2u2","C_0603",181.026500,-56.451500,0.000000,top
"C21","2u2","C_0603",195.250000,-61.500000,0.000000,top
"C22","2u2","C_0603",103.850000,-114.400000,0.000000,top
"C23","2u2","C_0603",196.200000,-41.000000,-90.000000,top
"C24","2u2","C_0603",177.150000,-49.450000,0.000000,top
"C25","2u2","C_0603",185.300000,-43.900000,0.000000,top
"C26","2u2","C_0603",118.500000,-99.450000,180.000000,top
"C27","2u2","C_0603",126.000000,-99.450000,0.000000,top
"C28","2u2","C_0603",128.900000,-113.850000,-90.000000,top
"C29","2u2","C_0603",124.750000,-118.750000,0.000000,top
"C30","2u2","C_0603",118.250000,-118.750000,180.000000,top
"C31","2u2","C_0603",109.600000,-107.350000,-90.000000,top
"C32","2u2","C_0603",109.600000,-102.350000,90.000000,top
"C33","2u2","C_0603",190.300000,-57.950000,180.000000,top
"C34","2u2","C_0603",181.800000,-67.050000,180.000000,top
"C35","2u2","C_0603",190.300000,-67.050000,180.000000,top
"C36","2u2","C_0603",181.800000,-76.150000,180.000000,top
"C37","2u2","C_0603",190.300000,-76.150000,180.000000,top
"C38","2u2","C_0603",190.300000,-85.250000,180.000000,top
"C39","2u2","C_0603",181.800000,-94.350000,180.000000,top
"C40","2u2","C_0603",190.300000,-94.350000,180.000000,top
"C41","2u2","C_0603",181.800000,-103.450000,180.000000,top
"C42","2u2","C_0603",190.300000,-103.450000,180.000000,top
"C43","2u2","C_0603",181.800000,-112.550000,180.000000,top
"C44","2u2","C_0603",190.300000,-112.550000,180.000000,top
"C45","2u2","C_0603",174.000000,-44.500000,-90.000000,top
"C46","22p","C_0603",192.850000,-46.249400,-90.000000,top
"C47","22p","C_0603",190.100000,-49.099400,0.000000,top
"C48","2u2","C_0603",186.900000,-125.400000,90.000000,top
"C49","2u2","C_0603",187.579000,-50.240500,90.000000,top
"C50","2u2","C_0603",177.550000,-41.650000,90.000000,top
"C51","2u2","C_0603",191.400000,-39.600000,180.000000,top
"C52","22p","C_0603",186.868500,-56.451500,0.000000,top
"C53","2u2","C_0603",125.350000,-87.350000,-90.000000,top
"C54","2u2","C_0603",195.250000,-55.250000,0.000000,top
"C55","2u2","C_0603",135.700000,-87.450000,90.000000,top
"C56","2u2","C_0603",133.900000,-87.450000,90.000000,top
"C57","2u2","C_0603",103.150000,-100.700000,-90.000000,top
"D1","7V5","D_SOD-323",176.800000,-47.750000,180.000000,top
"F1","750m","BelFuse_1206",190.650000,-41.950000,180.000000,top
"FB1","220","C_0805",194.050000,-41.100000,-90.000000,top
"FID1","Fiducial","Fiducial",102.235000,-39.878000,0.000000,top
"FID2","Fiducial","Fiducial",207.772000,-39.878000,0.000000,top
"FID3","Fiducial","Fiducial",210.312000,-135.382000,0.000000,top
"FID4","Fiducial","Fiducial",108.585000,-127.508000,0.000000,top
"J3","microUSB","USB_Micro-B_Amphenol_10118192-0001",183.250000,-40.550000,180.000000,top
"Q1","MMBT3904","SOT-23",195.250000,-112.450000,90.000000,top
"Q2","DNP","SOT-23",196.250000,-50.250000,90.000000,top
"Q3","AO3401A","SOT-23",176.800000,-44.950000,0.000000,top
"R1","47","R_0603",128.600000,-96.750000,0.000000,top
"R2","47","R_0603",123.550000,-97.550000,90.000000,top
"R3","47","R_0603",127.600000,-90.100000,180.000000,top
"R4","470","R_0603",128.050000,-84.650000,180.000000,top
"R5","47","R_0603",132.450000,-90.650000,90.000000,top
"R6","DNP","R_0603",168.950000,-98.750000,0.000000,top
"R7","47","R_0603",197.450000,-57.850000,90.000000,top
"R8","3k3","R_0603",102.850000,-105.100000,-90.000000,top
"R9","820","R_0603",130.950000,-84.650000,0.000000,top
"R10","3k3","R_0603",196.450000,-107.950000,180.000000,top
"R11","3k3","R_0603",195.250000,-109.650000,180.000000,top
"R12","DNP","R_0603",125.650000,-96.750000,0.000000,top
"R14","DNP","R_0603",168.950000,-100.950000,180.000000,top
"R15","DNP","R_0603",117.913685,-45.650685,135.000000,top
"R16","DNP","R_0603",107.800000,-59.050000,0.000000,top
"R17","47","R_0603",197.450000,-63.050000,-90.000000,top
"R18","47","R_0603",187.900000,-123.200000,0.000000,top
"R19","47","R_0603",194.850000,-115.150000,180.000000,top
"R20","47","R_0603",183.934000,-56.451500,0.000000,top
"R21","DNP","R_0603",168.950000,-96.550000,180.000000,top
"R23","DNP","R_0603",107.800000,-57.550000,180.000000,top
"R24","DNP","R_0603",172.050000,-103.150000,180.000000,top
"R25","680","R_0805",182.000000,-89.650000,90.000000,top
"R26","680","R_0805",179.600000,-62.150000,180.000000,top
"R27","680","R_0805",196.950000,-45.300000,90.000000,top
"R28","DNP","R_0805",195.300000,-53.250000,0.000000,top
"R29","22k","R_0805",195.450000,-67.700000,90.000000,top
"R30","DNP","R_0603",161.125000,-64.071500,0.000000,top
"R31","3k3","R_0603",149.350000,-72.450000,90.000000,top
"R32","3k3","R_0603",102.850000,-110.896500,-90.000000,top
"R33","3k3","R_0603",102.850000,-107.996500,90.000000,top
"R34","3k3","R_0603",113.000000,-127.000000,-90.000000,top
"R35","DNP","R_0603",172.050000,-100.950000,0.000000,top
"R36","DNP","R_0603",177.450000,-103.300000,0.000000,top
"R37","3k3","R_0603",194.700000,-102.350000,90.000000,top
"R38","3k3","R_0603",149.352000,-68.732500,-90.000000,top
"R39","3k3","R_0603",147.828000,-68.732500,-90.000000,top
"R40","680","R_0805",176.650000,-51.150000,0.000000,top
"U1","XC95144XL-TQ100","TQFP-100_14x14mm_P0.5mm",119.250000,-109.100000,90.000000,top
"U2","74AHCT573PW","TSSOP-20_4.4x6.5mm_P0.65mm",179.600000,-98.725000,-90.000000,top
"U3","AZ1117CH-3.3TRG1","SOT-223",114.950000,-87.600000,90.000000,top
"U4","LM66100DCK","SOT-363",174.900000,-41.650000,180.000000,top
"U5","SiT2001","SOT-23-5",128.350000,-87.550000,90.000000,top
"U6","74LVC1G74DC","NXP_VSSOP-8_2.3x2mm",130.200000,-93.200000,-90.000000,top
"U7","74LVC1G74DC","NXP_VSSOP-8_2.3x2mm",125.650000,-93.200000,-90.000000,top
"U8","KM48C2100","SOJ-28_300mil",135.890000,-58.166000,-90.000000,top
"U9","KM48C2100","SOJ-28_300mil",161.290000,-58.166000,-90.000000,top
"U10","39SF040","PLCC-32",135.890000,-76.200000,0.000000,top
"U11","39SF040","PLCC-32",161.290000,-76.200000,0.000000,top
"U12","CH340G","SOIC-16_3.9mm",182.753000,-50.355500,90.000000,top
"U13","74AHCT573PW","TSSOP-20_4.4x6.5mm_P0.65mm",188.100000,-116.925000,-90.000000,top
"U14","MC68HC000FN20","PLCC-68",148.590000,-103.251000,0.000000,top
"U15","74AHCT573PW","TSSOP-20_4.4x6.5mm_P0.65mm",188.100000,-107.775000,-90.000000,top
"U16","74AHCT573PW","TSSOP-20_4.4x6.5mm_P0.65mm",188.100000,-98.725000,-90.000000,top
"U17","74AHCT573PW","TSSOP-20_4.4x6.5mm_P0.65mm",179.600000,-116.925000,-90.000000,top
"U18","74AHCT573PW","TSSOP-20_4.4x6.5mm_P0.65mm",179.600000,-107.825000,-90.000000,top
"U19","74AHCT573PW","TSSOP-20_4.4x6.5mm_P0.65mm",188.100000,-80.525000,-90.000000,top
